"Email Address","First Name","Last Name",Address,"Phone Number",Birthday,"Phone Number","Zip Code","Group category 24013",MEMBER_RATING,OPTIN_TIME,OPTIN_IP,CONFIRM_TIME,CONFIRM_IP,LATITUDE,LONGITUDE,GMTOFF,DSTOFF,TIMEZONE,CC,REGION,LAST_CHANGED,LEID,EUID,NOTES,TAGS
NicolasRensky@gmail.com,Nicolas,Rensky,,,,0976554323,92000,,2,"2019-07-30 16:33:23",,"2019-07-30 16:33:23",37.169.134.160,48.8608000,2.3423400,1,2,Europe/Paris,FR,IDF,"2019-07-30 16:33:23",355668381,adee0a4345,,
JeanSobieski@gmail.com,Jean,Sobieski,,,,0987674534,92000,,2,"2019-07-30 16:30:10",,"2019-07-30 16:30:10",37.169.134.160,48.8608000,2.3423400,1,2,Europe/Paris,FR,IDF,"2019-07-30 16:30:10",355668305,a202a01c70,,
jeandelamontagne@gmail.com,jean,delamontagne,,,,0987676567,92000,,2,"2019-07-31 09:45:50",,"2019-07-31 09:45:50",212.51.173.22,45.7706000,3.0935600,1,2,Europe/Paris,FR,ARA,"2019-07-31 09:45:50",355849729,4354df69a6,,
BIllyHerrington@gmail.com,BIlly,Herrington,,,,0987657665,92000,,2,"2019-07-30 16:38:56",,"2019-07-30 16:38:56",37.169.134.160,48.8608000,2.3423400,1,2,Europe/Paris,FR,IDF,"2019-07-30 16:38:56",355671417,e0f3fac0ee,,
MichelFederovitch@gmail.com,Michel,Fédérovitch,,,,0998665434,92000,,2,"2019-07-30 16:32:32",,"2019-07-30 16:32:32",37.169.134.160,48.8608000,2.3423400,1,2,Europe/Paris,FR,IDF,"2019-07-30 16:32:32",355668361,68a9f99d6b,,
YasunoriMitsuda@gmail.com,Yasunori,Mitsuda,,,,0987676567,92000,,2,"2019-07-30 16:40:23",,"2019-07-30 16:40:23",37.169.134.160,48.8608000,2.3423400,1,2,Europe/Paris,FR,IDF,"2019-07-30 16:40:23",355671457,d5aaa4b58e,,
Nobuouematsu@gmail.com,Nobuo,uematsu,,,,0987657687,92000,,2,"2019-07-30 16:39:40",,"2019-07-30 16:39:40",37.169.134.160,48.8608000,2.3423400,1,2,Europe/Paris,FR,IDF,"2019-07-30 16:39:40",355671441,7eff84250d,,
qaqaqa@gmail.com,Yasunori,aaa,,,,0987676567,92000,,2,"2019-07-31 09:45:26",,"2019-07-31 09:45:26",212.51.173.22,45.7706000,3.0935600,1,2,Europe/Paris,FR,ARA,"2019-07-31 09:45:26",355849725,44f633689c,,
jeanjacquqsssqqe@gmail.com,aaaaa,aaa,,,,0987656567,65000,,2,"2019-07-30 16:25:40",,"2019-07-30 16:25:40",37.169.134.160,48.8608000,2.3423400,1,2,Europe/Paris,FR,IDF,"2019-07-30 16:25:40",355664185,1774df89e7,,
reimuhakuei@gmail.com,reimu,hakuei,,,,0978765645,92000,,2,"2019-07-31 15:25:23",,"2019-07-31 15:25:23",37.173.139.199,48.8608000,2.3423400,1,2,Europe/Paris,FR,IDF,"2019-07-31 15:25:23",355929325,e8a46d2238,,
